	id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	gene_name_a	gene_name_b	gene_name_mouse_a	gene_name_mouse_b
902	CPI-SS07AF9303D	P07492	P30550	GRP_HUMAN	GRPR_HUMAN	guidetopharmacology.org		GRP	GRPR	Grp	Grpr
903	CPI-SS07B3139A0	P48645	Q9GZQ4	NMU_HUMAN	NMUR2_HUMAN	guidetopharmacology.org		NMU	NMUR2	Nmu	Nmur2
904	CPI-SS07BA4A3B7	P21802	P55075	FGFR2_HUMAN	FGF8_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGFR2	FGF8	Fgfr2	Fgf8
905	CPI-SS07BECB892	P29317	P52797	EPHA2_HUMAN	EFNA3_HUMAN	curated	PMID: 15114347	EPHA2	EFNA3	Epha2	Efna3
906	CPI-SS07CA5A6F1	P54764	Q15768	EPHA4_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHA4	EFNB3	Epha4	Efnb3
907	CPI-SS07CCAD9BF	P28799	Q99523	GRN_HUMAN	SORT_HUMAN	IMEx,InnateDB-All,MINT		GRN	SORT1	Grn	Sort1
908	CPI-SS07CF0C6E7	P10092	P30988	CALCB_HUMAN	CALCR_HUMAN	guidetopharmacology.org		CALCB	CALCR	Calca	Calcr
909	CPI-SS07D40A3F3	Q92847	Q9UBU3	GHSR_HUMAN	GHRL_HUMAN	guidetopharmacology.org		GHSR	GHRL	Ghsr	Ghrl
910	CPI-SS07D56EB05	Q99788	Q99969	CML1_HUMAN	RARR2_HUMAN	guidetopharmacology.org		CMKLR1	RARRES2	Cmklr1	Rarres2
911	CPI-SS07D71C546	Q04721	Q13007	NOTC2_HUMAN	IL24_HUMAN	IMEx,InnateDB-All,MINT		NOTCH2	IL24	Notch2	Il24
912	CPI-SS07D9A48A2	P01374	P20333	TNFB_HUMAN	TNR1B_HUMAN	curated	uniprot	LTA	TNFRSF1B	Lta	Tnfrsf1b
913	CPI-SS07DFEBFA8	Q15760	Q6UWT2	GPR19_HUMAN	ENHO_HUMAN	guidetopharmacology.org		GPR19	ENHO	Gpr19	Enho
915	CPI-SS07F015051	P51684	P78556	CCR6_HUMAN	CCL20_HUMAN	curated	PMID: 24218476	CCR6	CCL20	Ccr6	Ccl20
916	CPI-SS07F042076	P00533	Q6UW88	EGFR_HUMAN	EPGN_HUMAN	curated	uniprot	EGFR	EPGN	Egfr	Epgn
917	CPI-SS07F60834D	P08581	P14210	MET_HUMAN	HGF_HUMAN	curated	uniprot	MET	HGF	Met	Hgf
918	CPI-SS080611C5B	P09917	P20292	LOX5_HUMAN	AL5AP_HUMAN	guidetopharmacology.org		ALOX5	ALOX5AP	Alox5	Alox5ap
919	CPI-SS080683E15	P02778	P49682	CXL10_HUMAN	CXCR3_HUMAN	curated	PMID: 24218476	CXCL10	CXCR3	Cxcl10	Cxcr3
920	CPI-SS08083B141	O14786	Q14563	NRP1_HUMAN	SEM3A_HUMAN	curated	uniprot	NRP1	SEMA3A	Nrp1	Sema3a
921	CPI-SS080C0EEB8	P56704	Q9UP38	WNT3A_HUMAN	FZD1_HUMAN	I2D,InnateDB-All		WNT3A	FZD1	Wnt3a	Fzd1
924	CPI-SS0816A4ED4	P22455	P54764	FGFR4_HUMAN	EPHA4_HUMAN	I2D,InnateDB-All		FGFR4	EPHA4	Fgfr4	Epha4
926	CPI-SS081AD39D7	P16284	Q8N6Q3	PECA1_HUMAN	CD177_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/17580308	PECAM1	CD177	Pecam1	Cd177
927	CPI-SS0822AEF5F	P08575	P22897	PTPRC_HUMAN	MRC1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27601670,https://www.ncbi.nlm.nih.gov/pubmed/10575006	PTPRC	MRC1	Ptprc	Mrc1
928	CPI-SS082900482	O60883	P07602	ETBR2_HUMAN	SAP_HUMAN	guidetopharmacology.org		GPR37L1	PSAP	Gpr37l1	Psap
929	CPI-SS0829B8FD2	P28799	Q9H2X3	GRN_HUMAN	CLC4M_HUMAN	InnateDB-All		GRN	CLEC4M	Grn	Cd209a
930	CPI-SS082ABF1EA	P52799	P54753	EFNB2_HUMAN	EPHB3_HUMAN	curated	PMID: 15114347	EFNB2	EPHB3	Efnb2	Ephb3
931	CPI-SS082AD7B6A	O60353	P41221	FZD6_HUMAN	WNT5A_HUMAN	curated	PMID: 24032637	FZD6	WNT5A	Fzd6	Wnt5a
932	CPI-SS0830AF8E6	P01350	P32239	GAST_HUMAN	GASR_HUMAN	guidetopharmacology.org		GAST	CCKBR	Gast	Cckbr
933	CPI-SS0830C7910	O43921	P29322	EFNA2_HUMAN	EPHA8_HUMAN	curated	PMID: 15114347	EFNA2	EPHA8	Efna2	Epha8
934	CPI-SS083296041	P25942	P29965	TNR5_HUMAN	CD40L_HUMAN	curated	Reviewed in PMID: 23602662	CD40	CD40LG	Cd40	Cd40lg
935	CPI-SS08330207B	Q7Z6A9	Q92956	BTLA_HUMAN	TNR14_HUMAN	guidetopharmacology.org		BTLA	TNFRSF14	Btla	Tnfrsf14
936	CPI-SS083319328	P30989	P30990	NTR1_HUMAN	NEUT_HUMAN	guidetopharmacology.org		NTSR1	NTS	Ntsr1	Nts
937	CPI-SS08376F0E6	P09919	Q99062	CSF3_HUMAN	CSF3R_HUMAN	curated	uniprot	CSF3	CSF3R	Csf3	Csf3r
938	CPI-SS0837E9F59	P78504	Q99466	JAG1_HUMAN	NOTC4_HUMAN	curated	PMID: 22353464	JAG1	NOTCH4	Jag1	Notch4
939	CPI-SS083B5EBAB	O43927	Q9NPB9	CXL13_HUMAN	ACKR4_HUMAN	curated	PMID: 24218476	CXCL13	ACKR4	Cxcl13	Ackr4
940	CPI-SS083CBFACD	P21741	Q92673	MK_HUMAN	SORL_HUMAN	InnateDB-All		MDK	SORL1	Mdk	Sorl1
941	CPI-SS083E7D88C	Q13324	Q96RP3	CRFR2_HUMAN	UCN2_HUMAN	guidetopharmacology.org		CRHR2	UCN2	Crhr2	Ucn2
942	CPI-SS084816B12	O43612	O43613	OREX_HUMAN	OX1R_HUMAN	guidetopharmacology.org		HCRT	HCRTR1	Hcrt	Hcrtr1
943	CPI-SS084BE3E4B	P01374	P19438	TNFB_HUMAN	TNR1A_HUMAN	curated	uniprot	LTA	TNFRSF1A	Lta	Tnfrsf1a
944	CPI-SS085195142	Q06418	Q14393	TYRO3_HUMAN	GAS6_HUMAN	guidetopharmacology.org		TYRO3	GAS6	Tyro3	Gas6
945	CPI-SS0855C0353	O14786	P49763	NRP1_HUMAN	PLGF_HUMAN	curated	uniprot	NRP1	PGF	Nrp1	Pgf
946	CPI-SS0859C173B	O43557	P36941	TNF14_HUMAN	TNR3_HUMAN	curated	uniprot	TNFSF14	LTBR	Tnfsf14	Ltbr
947	CPI-SS085C150CE	Q9BYF1	Q9UBU3	ACE2_HUMAN	GHRL_HUMAN	I2D		ACE2	GHRL	Ace2	Ghrl
948	CPI-SS085EE60B1	P01137	Q03167	TGFB1_HUMAN	TGBR3_HUMAN	curated	uniprot	TGFB1	TGFBR3	Tgfb1	Tgfbr3
949	CPI-SS0865716E5	P54760	Q15768	EPHB4_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHB4	EFNB3	Ephb4	Efnb3
950	CPI-SS086615F9B	P09603	Q9NYQ7	CSF1_HUMAN	CELR3_HUMAN	I2D		CSF1	CELSR3	Csf1	Celsr3
951	CPI-SS086A1C18B	P16581	Q14242	LYAM2_HUMAN	SELPL_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571854/	SELE	SELPLG	Sele	Selplg
952	CPI-SS08718E4FB	O15197	Q15768	EPHB6_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHB6	EFNB3	Ephb6	Efnb3
954	CPI-SS087321EB5	P14151	Q14242	LYAM1_HUMAN	SELPL_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2431087/,https://www.ncbi.nlm.nih.gov/pubmed/8892633,https://www.ncbi.nlm.nih.gov/pubmed/8896607	SELL	SELPLG	Sell	Selplg
955	CPI-SS0879B8E95	O95971	Q92956	BY55_HUMAN	TNR14_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/21959263	CD160	TNFRSF14	Cd160	Tnfrsf14
956	CPI-SS087A17AD6	P01588	P19235	EPO_HUMAN	EPOR_HUMAN	curated	uniprot	EPO	EPOR	Epo	Epor
957	CPI-SS087B53ABF	P57087	Q9BX67	JAM2_HUMAN	JAM3_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1237098/,https://www.ncbi.nlm.nih.gov/pubmed/11590146	JAM2	JAM3	Jam2	Jam3
959	CPI-SS087E0E3FB	P52799	P54764	EFNB2_HUMAN	EPHA4_HUMAN	curated	PMID: 15114347	EFNB2	EPHA4	Efnb2	Epha4
960	CPI-SS08805BBC2	P51460	Q9HBX9	INSL3_HUMAN	RXFP1_HUMAN	guidetopharmacology.org		INSL3	RXFP1	Insl3	Rxfp1
961	CPI-SS08833E2DA	P36544	P55000	ACHA7_HUMAN	SLUR1_HUMAN	IMEx,InnateDB-All,UniProt		CHRNA7	SLURP1	Chrna7	Slurp1
962	CPI-SS0883B7EE4	P22607	Q9GZV9	FGFR3_HUMAN	FGF23_HUMAN	I2D		FGFR3	FGF23	Fgfr3	Fgf23
964	CPI-SS08883E9F6	P10767	P21802	FGF6_HUMAN	FGFR2_HUMAN	I2D,InnateDB-All		FGF6	FGFR2	Fgf6	Fgfr2
965	CPI-SS0889E281D	Q9BY67	Q9BY67	CADM1_HUMAN	CADM1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/24503895	CADM1	CADM1	Cadm1	Cadm1
966	CPI-SS088A0A760	P00533	P53621	EGFR_HUMAN	COPA_HUMAN	InnateDB-All		EGFR	COPA	Egfr	Copa
967	CPI-SS088C1035B	P34130	Q16620	NTF4_HUMAN	NTRK2_HUMAN	I2D,IMEx,InnateDB-All,IntAct		NTF4	NTRK2	Ntf5	Ntrk2
969	CPI-SS0893BD6B6	Q14005	Q14957	IL16_HUMAN	NMDE3_HUMAN	I2D		IL16	GRIN2C	Il16	Grin2c
971	CPI-SS08991B378	P30203	Q13740	CD6_HUMAN	CD166_HUMAN	curated	Reviewed in PMID: 23602662	CD6	ALCAM	Cd6	Alcam
972	CPI-SS08A54963F	O43921	P29317	EFNA2_HUMAN	EPHA2_HUMAN	curated	PMID: 15114347	EFNA2	EPHA2	Efna2	Epha2
973	CPI-SS08A819670	P32970	Q9NZH0	CD70_HUMAN	GPC5B_HUMAN	InnateDB-All		CD70	GPRC5B	Cd70	Gprc5b
974	CPI-SS08B249DBA	P13500	P46092	CCL2_HUMAN	CCR10_HUMAN	I2D		CCL2	CCR10	Ccl12	Ccr10
975	CPI-SS08B7D54A3	P01375	P25445	TNFA_HUMAN	TNR6_HUMAN	InnateDB-All		TNF	FAS	Tnf	Fas
976	CPI-SS08B85996F	P02766	P08138	TTHY_HUMAN	TNR16_HUMAN	IMEx,InnateDB-All,MINT		TTR	NGFR	Ttr	Ngfr
978	CPI-SS08B94BEB2	Q08554	Q14126	DSC1_HUMAN	DSG2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSC1	DSG2	Dsc1	Dsg2
980	CPI-SS08C3D27F7	P46531	Q9Y219	NOTC1_HUMAN	JAG2_HUMAN	curated	PMID: 22353464	NOTCH1	JAG2	Notch1	Jag2
982	CPI-SS08C78576B	Q96T91	Q9UF33	GPHA2_HUMAN	EPHA6_HUMAN	InnateDB-All		GPHA2	EPHA6	Gpha2	Epha6
983	CPI-SS08C88D297	O00230	Q96LB1	CORT_HUMAN	MRGX2_HUMAN	I2D		CORT	MRGPRX2	Cort	Mrgprb1
984	CPI-SS08C995EB4	Q6UXB2	Q9HC97	VCC1_HUMAN	GPR35_HUMAN	guidetopharmacology.org		CXCL17	GPR35	Cxcl17	Gpr35
985	CPI-SS08CA619FE	P00533	P28799	EGFR_HUMAN	GRN_HUMAN	InnateDB-All		EGFR	GRN	Egfr	Grn
986	CPI-SS08D0F9109	P52799	P54760	EFNB2_HUMAN	EPHB4_HUMAN	curated	PMID: 15114347	EFNB2	EPHB4	Efnb2	Ephb4
988	CPI-SS08E13FAF2	O00590	P51671	ACKR2_HUMAN	CCL11_HUMAN	curated	PMID: 24218476	ACKR2	CCL11	Ackr2	Ccl11
991	CPI-SS08F13AD5C	P33681	Q9NZQ7	CD80_HUMAN	PD1L1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/17629517,https://www.ncbi.nlm.nih.gov/pubmed/18585785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3168865/	CD80	CD274	Cd80	Cd274
992	CPI-SS08FAC0A55	O15031	Q92854	PLXB2_HUMAN	SEM4D_HUMAN	curated	PMID: 22325954	PLXNB2	SEMA4D	Plxnb2	Sema4d
993	CPI-SS09000F32A	Q02413	Q14574	DSG1_HUMAN	DSC3_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSG1	DSC3	Dsg1a	Dsc3
994	CPI-SS0907A7598	P21802	P31371	FGFR2_HUMAN	FGF9_HUMAN	I2D,InnateDB-All		FGFR2	FGF9	Fgfr2	Fgf9
995	CPI-SS090987D9C	Q02643	Q9UBU3	GHRHR_HUMAN	GHRL_HUMAN	I2D		GHRHR	GHRL	Ghrhr	Ghrl
996	CPI-SS090FC28E1	O15197	P52799	EPHB6_HUMAN	EFNB2_HUMAN	curated	PMID: 15114347	EPHB6	EFNB2	Ephb6	Efnb2
999	CPI-SS09185EA8F	P19876	P25025	CXCL3_HUMAN	CXCR2_HUMAN	curated	PMID: 24218476	CXCL3	CXCR2	Cxcl2	Cxcr2
1001	CPI-SS091B461CB	O00590	Q9NRJ3	ACKR2_HUMAN	CCL28_HUMAN	I2D		ACKR2	CCL28	Ackr2	Ccl28
1003	CPI-SS092E57263	P04141	P07333	CSF2_HUMAN	CSF1R_HUMAN	guidetopharmacology.org		CSF2	CSF1R	Csf2	Csf1r
1005	CPI-SS0938C6980	Q9NR61	Q9UM47	DLL4_HUMAN	NOTC3_HUMAN	curated	PMID: 22353464	DLL4	NOTCH3	Dll4	Notch3
1007	CPI-SS093E05DD4	P20783	Q16620	NTF3_HUMAN	NTRK2_HUMAN	curated	uniprot	NTF3	NTRK2	Ntf3	Ntrk2
1008	CPI-SS0947A8549	P17948	P49765	VGFR1_HUMAN	VEGFB_HUMAN	curated	uniprot	FLT1	VEGFB	Flt1	Vegfb
1009	CPI-SS094C06AA8	P01350	Q8TDT2	GAST_HUMAN	GP152_HUMAN	IMEx,IntAct		GAST	GPR152	Gast	Gpr152
1012	CPI-SS09648FAA9	Q96RJ3	Q9Y275	TR13C_HUMAN	TN13B_HUMAN	guidetopharmacology.org		TNFRSF13C	TNFSF13B	Tnfrsf13c	Tnfsf13b
1014	CPI-SS0974EB232	Q16570	Q92583	ACKR1_HUMAN	CCL17_HUMAN	I2D		ACKR1	CCL17	Ackr1	Ccl17
1016	CPI-SS09808DEAE	P04233	P05067	HG2A_HUMAN	A4_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/19849849	CD74	APP	Cd74	App
1017	CPI-SS098425155	P07550	P49765	ADRB2_HUMAN	VEGFB_HUMAN	InnateDB-All		ADRB2	VEGFB	Adrb2	Vegfb
1018	CPI-SS0984C2931	P56704	Q07954	WNT3A_HUMAN	LRP1_HUMAN	I2D		WNT3A	LRP1	Wnt3a	Lrp1
1020	CPI-SS098EFF959	P32248	Q99731	CCR7_HUMAN	CCL19_HUMAN	curated	PMID: 24218476	CCR7	CCL19	Ccr7	Ccl19
1021	CPI-SS098F416C1	P21802	Q9UBH6	FGFR2_HUMAN	XPR1_HUMAN	InnateDB-All		FGFR2	XPR1	Fgfr2	Xpr1
1022	CPI-SS098F8DB82	P01189	P32245	COLI_HUMAN	MC4R_HUMAN	guidetopharmacology.org		POMC	MC4R	Pomc	Mc4r
1023	CPI-SS099C401F7	P27037	P58166	AVR2A_HUMAN	INHBE_HUMAN	curated	PMID: 22710174	ACVR2A	INHBE	Acvr2a	Inhbe
1024	CPI-SS09A36B221	P23560	Q99523	BDNF_HUMAN	SORT_HUMAN	I2D,IMEx,InnateDB-All,IntAct		BDNF	SORT1	Bdnf	Sort1
1025	CPI-SS09A3A441F	P25092	Q02747	GUC2C_HUMAN	GUC2A_HUMAN	guidetopharmacology.org		GUCY2C	GUCA2A	Gucy2c	Guca2a
1026	CPI-SS09A3FA737	P43490	Q15077	NAMPT_HUMAN	P2RY6_HUMAN	IMEx,IntAct		NAMPT	P2RY6	Nampt	P2ry6
1028	CPI-SS09C06644C	Q8N126	Q9BY67	CADM3_HUMAN	CADM1_HUMAN	curated	uniprot	CADM3	CADM1	Cadm3	Cadm1
1029	CPI-SS09C4988F8	P07225	Q06418	PROS_HUMAN	TYRO3_HUMAN	guidetopharmacology.org		PROS1	TYRO3	Pros1	Tyro3
1030	CPI-SS09C4FCB90	P05362	P16150	ICAM1_HUMAN	LEUK_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/1683685	ICAM1	SPN	Icam1	Spn
1032	CPI-SS09C917D22	P01375	P35916	TNFA_HUMAN	VGFR3_HUMAN	InnateDB-All		TNF	FLT4	Tnf	Flt4
1033	CPI-SS09CA492BA	P20827	P29320	EFNA1_HUMAN	EPHA3_HUMAN	curated	PMID: 15114347	EFNA1	EPHA3	Efna1	Epha3
1034	CPI-SS09CCC0451	P58166	Q13705	INHBE_HUMAN	AVR2B_HUMAN	curated	PMID: 22710174	INHBE	ACVR2B	Inhbe	Acvr2b
1035	CPI-SS09CF5B145	O00253	P32245	AGRP_HUMAN	MC4R_HUMAN	guidetopharmacology.org		AGRP	MC4R	Agrp	Mc4r
1036	CPI-SS09D379E5B	Q99466	Q9NYJ7	NOTC4_HUMAN	DLL3_HUMAN	curated	PMID: 22353464	NOTCH4	DLL3	Notch4	Dll3
1037	CPI-SS09D5B5F9C	Q07954	Q4G0M1	LRP1_HUMAN	ERFE_HUMAN	InnateDB-All		LRP1	ERFE	Lrp1	Erfe
1038	CPI-SS09E3F5044	P52803	P54756	EFNA5_HUMAN	EPHA5_HUMAN	curated	PMID: 15114347	EFNA5	EPHA5	Efna5	Epha5
1039	CPI-SS09EF54490	Q8WXG9	Q96T91	GPR98_HUMAN	GPHA2_HUMAN	InnateDB-All		ADGRV1	GPHA2	Adgrv1	Gpha2
1040	CPI-SS09F430F14	P08138	P60568	TNR16_HUMAN	IL2_HUMAN	I2D		NGFR	IL2	Ngfr	Il2
1041	CPI-SS09F973C1A	P29317	P52798	EPHA2_HUMAN	EFNA4_HUMAN	curated	PMID: 15114347	EPHA2	EFNA4	Epha2	Efna4
1043	CPI-SS09FF3A1EA	O00144	P09544	FZD9_HUMAN	WNT2_HUMAN	curated	PMID: 24032637	FZD9	WNT2	Fzd9	Wnt2
1044	CPI-SS0A021DB6E	P13501	P32246	CCL5_HUMAN	CCR1_HUMAN	curated	PMID: 24218476	CCL5	CCR1	Ccl5	Ccr1
1045	CPI-SS0A05319F5	P06850	Q13324	CRF_HUMAN	CRFR2_HUMAN	I2D,InnateDB-All		CRH	CRHR2	Crh	Crhr2
1047	CPI-SS0A0DE9CD6	P01588	P54760	EPO_HUMAN	EPHB4_HUMAN	IMEx,InnateDB-All,IntAct		EPO	EPHB4	Epo	Ephb4
1048	CPI-SS0A1864A37	P16066	P23582	ANPRA_HUMAN	ANFC_HUMAN	InnateDB-All		NPR1	NPPC	Npr1	Nppc
1049	CPI-SS0A19E9C34	P00533	P35070	EGFR_HUMAN	BTC_HUMAN	curated	uniprot	EGFR	BTC	Egfr	Btc
1050	CPI-SS0A28DCA72	P48061	P61073	SDF1_HUMAN	CXCR4_HUMAN	curated	PMID: 24218476	CXCL12	CXCR4	Cxcl12	Cxcr4
1053	CPI-SS0A34EE366	P46531	P80370	NOTC1_HUMAN	DLK1_HUMAN	curated	PMID: 22353464	NOTCH1	DLK1	Notch1	Dlk1
1054	CPI-SS0A3569604	P01344	P14735	IGF2_HUMAN	IDE_HUMAN	I2D,InnateDB-All		IGF2	IDE	Igf2	Ide
1056	CPI-SS0A4EE6FE1	O75197	P58499	LRP5_HUMAN	FAM3B_HUMAN	InnateDB-All		LRP5	FAM3B	Lrp5	Fam3b
1057	CPI-SS0A4F27388	P19438	P48023	TNR1A_HUMAN	TNFL6_HUMAN	I2D,InnateDB-All		TNFRSF1A	FASLG	Tnfrsf1a	Fasl
1058	CPI-SS0A5B945E3	P54753	Q15768	EPHB3_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHB3	EFNB3	Ephb3	Efnb3
1059	CPI-SS0A5DF05C0	Q495A1	Q92692	TIGIT_HUMAN	PVRL2_HUMAN	curated	PMID: 1313846, Induces NK Cell Inhibition. Reviewed in PMID:24987108	TIGIT	NECTIN2	Tigit	Nectin2
1061	CPI-SS0A6477344	Q8TDU9	Q8WXF3	RL3R2_HUMAN	REL3_HUMAN	guidetopharmacology.org		RXFP4	RLN3	Rxfp4	Rln3
1062	CPI-SS0A683CBC1	P56706	Q9ULW2	WNT7B_HUMAN	FZD10_HUMAN	curated	PMID: 24032637	WNT7B	FZD10	Wnt7b	Fzd10
1063	CPI-SS0A69F13A3	P56705	Q99835	WNT4_HUMAN	SMO_HUMAN	I2D		WNT4	SMO	Wnt4	Smo
1065	CPI-SS0A7B487D4	A4D1S0	O96014	KLRG2_HUMAN	WNT11_HUMAN	InnateDB-All		KLRG2	WNT11	Klrg2	Wnt11
1066	CPI-SS0A7E3A1AF	P01031	Q9P296	CO5_HUMAN	C5AR2_HUMAN	guidetopharmacology.org		C5	C5AR2	Hc	C5ar2
1067	CPI-SS0A81A3626	O00755	P01130	WNT7A_HUMAN	LDLR_HUMAN	InnateDB-All		WNT7A	LDLR	Wnt7a	Ldlr
1069	CPI-SS0A83A7E30	O75888	P25445	TNF13_HUMAN	TNR6_HUMAN	I2D,InnateDB-All		TNFSF13	FAS	Tnfsf13	Fas
1072	CPI-SS0A874F65F	Q9BXB1	Q9BXY4	LGR4_HUMAN	RSPO3_HUMAN	guidetopharmacology.org		LGR4	RSPO3	Lgr4	Rspo3
1073	CPI-SS0A915097A	O15399	Q14005	NMDE4_HUMAN	IL16_HUMAN	I2D		GRIN2D	IL16	Grin2d	Il16
1074	CPI-SS0A91954A0	P34925	P56704	RYK_HUMAN	WNT3A_HUMAN	I2D		RYK	WNT3A	Ryk	Wnt3a
1075	CPI-SS0A93C11C8	P08138	P23560	TNR16_HUMAN	BDNF_HUMAN	curated	uniprot	NGFR	BDNF	Ngfr	Bdnf
1076	CPI-SS0A9E884E0	P41217	Q8TD46	OX2G_HUMAN	MO2R1_HUMAN	curated	PMID: 22020332, also called CD200-CD200R	CD200	CD200R1	Cd200	Cd200r1
1077	CPI-SS0A9F17199	P10082	P25929	PYY_HUMAN	NPY1R_HUMAN	guidetopharmacology.org		PYY	NPY1R	Pyy	Npy1r
1079	CPI-SS0AA47D179	O14836	P32970	TR13B_HUMAN	CD70_HUMAN	InnateDB-All		TNFRSF13B	CD70	Tnfrsf13b	Cd70
1081	CPI-SS0AB0604B5	P29320	P52797	EPHA3_HUMAN	EFNA3_HUMAN	curated	PMID: 15114347	EPHA3	EFNA3	Epha3	Efna3
1082	CPI-SS0AB21032D	O15031	Q9C0C4	PLXB2_HUMAN	SEM4C_HUMAN	curated	uniprot	PLXNB2	SEMA4C	Plxnb2	Sema4c
1083	CPI-SS0AB647854	O15354	P07602	GPR37_HUMAN	SAP_HUMAN	guidetopharmacology.org		GPR37	PSAP	Gpr37	Psap
1084	CPI-SS0ABC5C1B8	P04233	P14174	HG2A_HUMAN	MIF_HUMAN	I2D,InnateDB-All		CD74	MIF	Cd74	Mif
1087	CPI-SS0AC594A8E	O60258	P22455	FGF17_HUMAN	FGFR4_HUMAN	I2D		FGF17	FGFR4	Fgf17	Fgfr4
1089	CPI-SS0ACCAC836	Q9NSD7	Q9Y5Q6	RL3R1_HUMAN	INSL5_HUMAN	guidetopharmacology.org		RXFP3	INSL5	Rxfp3	Insl5
1091	CPI-SS0ACD487F0	P32004	P32004	L1CAM_HUMAN	L1CAM_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/18701456/	L1CAM	L1CAM	L1cam	L1cam
1092	CPI-SS0AD0ED887	O00300	P50591	TR11B_HUMAN	TNF10_HUMAN	curated	uniprot	TNFRSF11B	TNFSF10	Tnfrsf11b	Tnfsf10
1094	CPI-SS0ADA587B4	P08138	P20783	TNR16_HUMAN	NTF3_HUMAN	curated	uniprot	NGFR	NTF3	Ngfr	Ntf3
1095	CPI-SS0ADC886E5	P13236	P51685	CCL4_HUMAN	CCR8_HUMAN	I2D		CCL4	CCR8	Ccl4	Ccr8
1096	CPI-SS0AE4CF4E7	O00590	P13501	ACKR2_HUMAN	CCL5_HUMAN	curated	PMID: 24218476	ACKR2	CCL5	Ackr2	Ccl5
1097	CPI-SS0AEC33FF1	O00626	P27487	CCL22_HUMAN	DPP4_HUMAN	curated	PMID: 24218476	CCL22	DPP4	Ccl22	Dpp4
1098	CPI-SS0AECC113F	O15520	P21802	FGF10_HUMAN	FGFR2_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF10	FGFR2	Fgf10	Fgfr2
1099	CPI-SS0AFC7BACF	Q8IZF4	Q92520	AGRG5_HUMAN	FAM3C_HUMAN	InnateDB-All		ADGRG5	FAM3C	Adgrg5	Fam3c
1100	CPI-SS0AFE077D8	O00590	P13236	ACKR2_HUMAN	CCL4_HUMAN	curated	PMID: 24218476	ACKR2	CCL4	Ackr2	Ccl4
1101	CPI-SS0B01CF3AB	P07333	P09603	CSF1R_HUMAN	CSF1_HUMAN	curated	uniprot	CSF1R	CSF1	Csf1r	Csf1
1102	CPI-SS0B01D306C	P13501	P51681	CCL5_HUMAN	CCR5_HUMAN	curated	PMID: 24218476	CCL5	CCR5	Ccl5	Ccr5
1104	CPI-SS0B0AC1603	O00175	P51677	CCL24_HUMAN	CCR3_HUMAN	curated	PMID: 24218476	CCL24	CCR3	Ccl24	Ccr3
1105	CPI-SS0B0CF0EDF	O95150	Q93038	TNF15_HUMAN	TNR25_HUMAN	guidetopharmacology.org		TNFSF15	TNFRSF25	Tnfsf15	Tnfrsf25
1106	CPI-SS0B0E09B1C	P16410	P42081	CTLA4_HUMAN	CD86_HUMAN	curated	antigen-stimulated T cells become anergic. Reviewed in PMID: 23954143	CTLA4	CD86	Ctla4	Cd86
1107	CPI-SS0B0E74BC0	P47211	Q9UBC7	GALR1_HUMAN	GALP_HUMAN	guidetopharmacology.org		GALR1	GALP	Galr1	Galp
1109	CPI-SS0B1AB068C	P04629	P06744	NTRK1_HUMAN	G6PI_HUMAN	InnateDB-All		NTRK1	GPI	Ntrk1	Gpi1
1110	CPI-SS0B1F94CD2	P01189	P41968	COLI_HUMAN	MC3R_HUMAN	guidetopharmacology.org		POMC	MC3R	Pomc	Mc3r
1111	CPI-SS0B26EEF21	O95393	Q8TDT2	BMP10_HUMAN	GP152_HUMAN	IMEx,IntAct		BMP10	GPR152	Bmp10	Gpr152
1112	CPI-SS0B27088B4	P30988	P35318	CALCR_HUMAN	ADML_HUMAN	guidetopharmacology.org		CALCR	ADM	Calcr	Adm
1113	CPI-SS0B2979A10	P46092	Q9Y4X3	CCR10_HUMAN	CCL27_HUMAN	curated	PMID: 24218476	CCR10	CCL27	Ccr10	Ccl27b
1114	CPI-SS0B2D5BA95	P41221	Q9UP38	WNT5A_HUMAN	FZD1_HUMAN	curated	PMID: 24032637	WNT5A	FZD1	Wnt5a	Fzd1
